flightNumber,departingFrom,arrivingAt,departure,arrival,aircraftID,captain,copilot,fsm,fa1,fa2
NA5600,KEF,LYR,2019-12-20T06:45:00,2019-12-20T10:45:00,TF-EPG,3009907461,2410876598,1600904199,3002688722,3003962187
NA5601,LYR,KEF,2019-12-20T11:45:00,2019-12-20T15:45:00,TF-EPG,3009907461,2410876598,1600904199,3002688722,3003962187
NA5600,KEF,LYR,2019-12-22T06:16:00,2019-12-22T10:16:00,TF-XZM,2910858778,2211658134,,,
NA5601,LYR,KEF,2019-12-22T11:16:00,2019-12-22T15:16:00,TF-XZM,2910858778,2211658134,,,
NA2200,KEF,GOH,2019-12-21T06:21:00,2019-12-21T09:21:00,TF-EPG,3009907461,2410876598,,,
NA2201,GOH,KEF,2019-12-21T10:21:00,2019-12-21T13:21:00,TF-EPG,3009907461,2410876598,,,
NA2200,KEF,GOH,2019-12-24T05:24:00,2019-12-24T08:24:00,TF-XUP,3009907461,2410876598,,,
NA2201,GOH,KEF,2019-12-24T09:24:00,2019-12-24T12:24:00,TF-XUP,3009907461,2410876598,,,
NA6100,KEF,KUS,2019-12-20T06:27:00,2019-12-20T08:27:00,TF-LNQ,2910858778,2211658134,,,
NA6101,KUS,KEF,2019-12-20T09:27:00,2019-12-20T11:27:00,TF-LNQ,2910858778,2211658134,,,
NA6100,KEF,KUS,2019-12-24T06:15:00,2019-12-24T08:15:00,TF-XZR,2209955782,1900769521,,,
NA6101,KUS,KEF,2019-12-24T09:15:00,2019-12-24T11:15:00,TF-XZR,2209955782,1900769521,,,
NA3300,KEF,FAE,2019-12-24T09:18:00,2019-12-24T10:18:00,TF-PGK,2907675667,2504939263,,,
NA3301,FAE,KEF,2019-12-24T11:18:00,2019-12-24T12:18:00,TF-PGK,2907675667,2504939263,,,
NA3300,KEF,FAE,2019-12-26T09:27:00,2019-12-26T10:27:00,TF-LNQ,2209955782,2504939263,,,
NA3301,FAE,KEF,2019-12-26T11:27:00,2019-12-26T12:27:00,TF-LNQ,2209955782,2504939263,,,
NA9900,KEF,LWK,2019-12-21T10:23:00,2019-12-21T12:23:00,TF-XZM,2910858778,2211658134,,,
NA9901,LWK,KEF,2019-12-21T13:23:00,2019-12-21T15:23:00,TF-XZM,2910858778,2211658134,,,
NA9900,KEF,LWK,2019-12-24T09:39:00,2019-12-24T11:39:00,TF-XUP,,,,,
NA9901,LWK,KEF,2019-12-24T12:39:00,2019-12-24T14:39:00,TF-XUP,,,,,
NA9900,KEF,LWK,2019-12-27T09:40:00,2019-12-27T11:40:00,TF-PGK,2910858778,2211658134,,,
NA9901,LWK,KEF,2019-12-27T12:40:00,2019-12-27T14:40:00,TF-PGK,2910858778,2211658134,,,
